Año,Mes,temp_promedio
2019,1,19.29
2019,2,18.68
2019,3,18.84
2019,4,17.99
2019,5,17.02
2019,6,16.47
2019,7,15.76
2019,8,15.72
2019,9,15.33
2019,10,15.8
2019,11,17.2
2019,12,17.54
2019,1,17.57
2019,2,17.45
2019,3,17.03
2019,4,17.1
2019,5,16.14
2019,6,16.02
2019,7,15.35
2019,8,15.4
2019,9,14.97
2019,10,15.12
2019,11,16.28
2019,12,16.61
2019,1,19.35
2019,2,20.03
2019,3,18.24
2019,4,17.77
2019,5,15.92
2019,6,15.43
2019,7,14.8
2019,8,15.23
2019,9,15.33
2019,10,16.37
2019,11,17.3
2019,12,18.84
2019,1,19.89
2019,2,20.36
2019,3,20.18
2019,4,19.9
2019,5,18.98
2019,6,17.18
2019,7,16.37
2019,8,15.88
2019,9,15.67
2019,10,15.29
2019,11,15.31
2019,12,15.79
2019,1,24.35
2019,2,25.66
2019,3,25.9
2019,4,25.03
2019,5,23.56
2019,6,21.19
2019,7,20.58
2019,8,20.2
2019,9,20.19
2019,10,20.82
2019,11,21.84
2019,12,23.09
2019,1,17.06
2019,2,18.22
2019,3,16.72
2019,4,15.79
2019,5,14.7
2019,6,14.22
2019,7,14.02
2019,8,14.08
2019,9,14.32
2019,10,15.19
2019,11,16.28
2019,12,17.09
2019,1,17.94
2019,2,18.58
2019,3,17.34
2019,4,15.87
2019,5,14.03
2019,6,13.35
2019,7,12.97
2019,8,13.52
2019,9,13.7
2019,10,14.49
2019,11,15.84
2019,12,17.02
2019,1,18.15
2019,2,18.8
2019,3,18.37
2019,4,18.07
2019,5,17.13
2019,6,15.69
2019,7,14.75
2019,8,14.12
2019,9,13.79
2019,10,14.31
2019,11,15.73
2019,12,17.37
2019,1,15.63
2019,2,17.38
2019,3,14.49
2019,4,13.81
2019,5,13.05
2019,6,13.19
2019,7,12.08
2019,8,11.88
2019,9,12.26
2019,10,12.68
2019,11,13.87
2019,12,14.3
2019,1,15.46
2019,2,17.16
2019,3,14.01
2019,4,13.56
2019,5,12.36
2019,6,12.61
2019,7,11.74
2019,8,11.43
2019,9,12.02
2019,10,12.86
2019,11,13.72
2019,12,13.89
2019,1,13.85
2019,2,14.58
2019,3,13.67
2019,4,13.55
2019,5,12.97
2019,6,12.17
2019,7,11.93
2019,8,11.71
2019,9,11.86
2019,10,13.01
2019,11,13.03
2019,12,12.75
2019,1,13.2
2019,2,12.81
2019,3,12.26
2019,4,11.97
2019,5,12.3
2019,6,11.29
2019,7,10.25
2019,8,10.34
2019,9,10.86
2019,10,12.35
2019,11,14.13
2019,12,14.04
2019,1,14.19
2019,2,15.76
2019,3,14.4
2019,4,12.73
2019,5,11.51
2019,6,11.02
2019,7,10.88
2019,8,10.72
2019,9,10.76
2019,10,11.45
2019,11,12.14
2019,12,13.74
2019,1,14.21
2019,2,14.56
2019,3,13.45
2019,4,12.11
2019,5,11.52
2019,6,14.24
2019,1,13.87
2019,2,15.04
2019,3,13.03
2019,4,11.37
2019,5,9.95
2019,6,8.44
2019,7,8.35
2019,8,8.22
2019,9,8.93
2019,10,10.36
2019,11,11.7
2019,12,13.1
2019,1,8.65
2019,2,9.09
2019,3,8.99
2019,4,8.27
2019,5,7.35
2019,6,6.44
2019,7,5.8
2019,8,5.79
2019,9,5.92
2019,10,6.26
2019,11,7.18
2019,12,8.35
2019,1,9.03
2019,2,9.64
2019,3,8.6
2019,4,7.65
2019,5,6.53
2019,6,5.83
2019,7,5.43
2019,8,4.96
2019,9,5.1
2019,10,5.65
2019,11,7.6
2020,1,19.27
2020,2,19.86
2020,3,18.91
2020,4,18.04
2020,5,17.44
2020,6,16.84
2020,7,16.14
2020,8,15.42
2020,9,15.26
2020,10,16.1
2020,11,16.73
2020,12,17.28
2020,1,17.23
2020,2,17.23
2020,3,17.4
2020,4,16.99
2020,5,16.64
2020,6,15.85
2020,7,15.37
2020,8,15.09
2020,9,14.79
2020,10,14.93
2020,11,15.7
2020,12,16.09
2020,1,19.55
2020,2,20.31
2020,3,18.67
2020,4,18.05
2020,5,16.9
2020,6,15.83
2020,7,15.05
2020,8,15.17
2020,9,15.67
2020,10,15.94
2020,11,17.45
2020,12,18.54
2020,1,17.28
2020,2,18.91
2020,3,20.34
2020,4,19.87
2020,5,19.18
2020,6,18.54
2020,7,18.1
2020,8,17.37
2020,9,16.84
2020,10,16.72
2020,11,17.21
2020,12,17.7
2020,1,24.02
2020,2,24.94
2020,3,24.5
2020,4,23.77
2020,5,22.78
2020,6,21.67
2020,7,21.11
2020,8,20.62
2020,9,20.58
2020,10,21.01
2020,11,21.84
2020,12,23.08
2020,1,17.23
2020,2,17.13
2020,3,16.69
2020,4,17.36
2020,5,16.9
2020,6,14.24
2020,7,13.75
2020,8,14.22
2020,9,14.64
2020,10,14.51
2020,11,14.98
2020,12,16.51
2020,1,18.07
2020,2,17.85
2020,3,18.09
2020,4,16.1
2020,5,14.85
2020,6,14.18
2020,7,13.49
2020,8,13.21
2020,9,13.93
2020,10,14.68
2020,11,15.25
2020,12,16.14
2020,1,19.09
2020,2,19.54
2020,3,19.7
2020,4,18.33
2020,5,17.7
2020,6,16.08
2020,7,15.04
2020,8,14.85
2020,9,14.17
2020,10,14.16
2020,11,14.96
2020,12,16.5
2020,1,15.6
2020,2,15.65
