"DTI_CL_MES","Mes","CL_T017ESTACION_SHOA","Estación ambiental SHOA","Value","Flag Codes","Flags"
"2015-M01","2015 Enero","T017001","Arica",18.28,,
"2015-M02","2015 Febrero","T017001","Arica",20.15,,
"2015-M03","2015 Marzo","T017001","Arica",20.69,,
"2015-M04","2015 Abril","T017001","Arica",19.36,,
"2015-M05","2015 Mayo","T017001","Arica",18.27,,
"2015-M06","2015 Junio","T017001","Arica",18.01,,
"2015-M07","2015 Julio","T017001","Arica",17.47,,
"2015-M08","2015 Agosto","T017001","Arica",16.55,,
"2015-M09","2015 Septiembre","T017001","Arica",16.98,,
"2015-M10","2015 Octubre","T017001","Arica",17,,
"2015-M11","2015 Noviembre","T017001","Arica",17.56,,
"2015-M12","2015 Diciembre","T017001","Arica",18.47,,
"2016-M01","2016 Enero","T017001","Arica",19.85,,
"2016-M02","2016 Febrero","T017001","Arica",20.07,,
"2016-M03","2016 Marzo","T017001","Arica",21.2,,
"2016-M04","2016 Abril","T017001","Arica",18.75,,
"2016-M05","2016 Mayo","T017001","Arica",17.75,,
"2016-M06","2016 Junio","T017001","Arica",16.63,,
"2016-M07","2016 Julio","T017001","Arica",16.56,,
"2016-M08","2016 Agosto","T017001","Arica",17.25,,
"2016-M09","2016 Septiembre","T017001","Arica",16.7,,
"2016-M10","2016 Octubre","T017001","Arica",16.94,,
"2016-M11","2016 Noviembre","T017001","Arica",17.56,,
"2016-M12","2016 Diciembre","T017001","Arica",18.39,,
"2017-M01","2017 Enero","T017001","Arica",19.21,,
"2017-M02","2017 Febrero","T017001","Arica",19.44,,
"2017-M03","2017 Marzo","T017001","Arica",18.56,,
"2017-M04","2017 Abril","T017001","Arica",19.12,,
"2017-M05","2017 Mayo","T017001","Arica",17.98,,
"2017-M06","2017 Junio","T017001","Arica",17.67,,
"2017-M07","2017 Julio","T017001","Arica",16.82,,
"2017-M08","2017 Agosto","T017001","Arica",16.17,,
"2017-M09","2017 Septiembre","T017001","Arica",15.34,,
"2017-M10","2017 Octubre","T017001","Arica",15.56,,
"2017-M11","2017 Noviembre","T017001","Arica",16.73,,
"2017-M12","2017 Diciembre","T017001","Arica",17.69,,
"2015-M01","2015 Enero","T017002","Pisagua",16.1,,
"2015-M02","2015 Febrero","T017002","Pisagua",15.9,,
"2015-M03","2015 Marzo","T017002","Pisagua",15.87,,
