Año,País,Tipo de arte,Área geográfica,Horas de esfuerzo pesquero,Cantidad de embarcaciones,Observaciones
2010,Argentina,Trampas,Tierra del Fuego,3860.0,41,Informe preliminar
2011,Argentina,Trampas,Tierra del Fuego,4842.8,32,Revisión técnica
2012,Argentina,Trampas,Tierra del Fuego,1218.0,42,Revisión técnica
2013,Argentina,Trampas,Tierra del Fuego,5972.8,12,Revisión técnica
2014,Argentina,Trampas,Tierra del Fuego,3349.7,27,Informe preliminar
2015,Argentina,Trampas,Tierra del Fuego,2397.8,34,Revisión técnica
2016,Argentina,Trampas,Tierra del Fuego,5417.5,40,Revisión técnica
2017,Argentina,Trampas,Tierra del Fuego,4738.6,12,Revisión técnica
2018,Argentina,Trampas,Tierra del Fuego,5765.4,49,Informe preliminar
2019,Argentina,Trampas,Tierra del Fuego,2653.8,33,Revisión técnica
2020,Argentina,Trampas,Tierra del Fuego,3763.8,41,Revisión técnica
2021,Argentina,Trampas,Tierra del Fuego,3861.5,31,Revisión técnica
2022,Argentina,Trampas,Tierra del Fuego,5901.7,32,Informe preliminar
2023,Argentina,Trampas,Tierra del Fuego,1376.7,11,Revisión técnica
2024,Argentina,Trampas,Tierra del Fuego,2528.5,36,Revisión técnica
